"","Unduplicated Individuals"
"1",262
"2",366
"3",463
"4",189
"5",259
"6",340
"7",265
"8",313
"9",119
"10",119
"11",101
"12",142
"13",328
"14",393
"15",375
"16",242
"17",381
"18",436
"19",450
"20",510
"21",95
"22",142
"23",149
"24",229
"25",673
"26",778
"27",553
"28",386
"29",696
"30",793
"31",577
"32",232
"33",494.623447043511
"34",511.576646827161
"35",511.14249109601
"36",324
"37",610
"38",509
"39",489
"40",364
"41",422
"42",525
"43",559
"44",506
"45",113
"46",191
"47",198
"48",265
"49",633
"50",739
"51",620
"52",436
"53",576
"54",665
"55",632
"56",603
"57",206
"58",297
"59",319
"60",704
"61",1449
"62",1251
"63",1265
"64",812
"65",1209
"66",1264
"67",1217
